year,country,gdp_per_capita
2024,Afghanistan,1370.0
2024,Angola,5820.0
2024,Albania,16700.0
2024,Andorra,55200.0
2024,UAE,76900.0
2024,Argentina,22000.0
2024,Armenia,18000.0
2024,Antigua and Barbuda,23200.0
2024,Australia,51300.0
2024,Austria,56200.0
2024,Azerbaijan,15400.0
2024,Burundi,731.0
2024,Belgium,53600.0
2024,Benin,3640.0
2024,Burkina Faso,2270.0
2024,Bangladesh,6980.0
2024,Bulgaria,28500.0
2024,Bahrain,52500.0
2024,Bahamas,35500.0
2024,Bosnia and Herzegovina,17600.0
2024,Belarus,18000.0
2024,Belize,9980.0
2024,Bolivia,8270.0
2024,Brazil,15600.0
2024,Barbados,16300.0
2024,Brunei,60300.0
2024,Bhutan,12000.0
2024,Botswana,16200.0
2024,Central African Republic,840.0
2024,Canada,48500.0
2024,Switzerland,71800.0
2024,Chile,25800.0
2024,China,19900.0
2024,Cote d'Ivoire,5960.0
2024,Cameroon,3850.0
2024,"Congo, Dem. Rep.",1190.0
2024,"Congo, Rep.",3320.0
2024,Colombia,15900.0
2024,Comoros,3220.0
2024,Cape Verde,8190.0
2024,Costa Rica,23200.0
2024,Cuba,10800.0
2024,Cyprus,45000.0
2024,Czech Republic,41700.0
2024,Germany,53700.0
2024,Djibouti,5410.0
2024,Dominica,12500.0
2024,Denmark,61200.0
2024,Dominican Republic,20600.0
2024,Algeria,11500.0
2024,Ecuador,10900.0
2024,Egypt,13300.0
2024,Eritrea,2090.0
2024,Spain,41200.0
2024,Estonia,37900.0
2024,Ethiopia,2600.0
2024,Finland,49300.0
2024,Fiji,13200.0
2024,France,46800.0
2024,"Micronesia, Fed. Sts.",3440.0
2024,Gabon,14400.0
2024,UK,46900.0
2024,Georgia,19100.0
2024,Ghana,5440.0
2024,Guinea,2870.0
2024,Gambia,2250.0
2024,Guinea-Bissau,1950.0
2024,Equatorial Guinea,12300.0
2024,Greece,32900.0
2024,Grenada,15400.0
2024,Guatemala,9430.0
2024,Guyana,51900.0
2024,"Hong Kong, China",61900.0
2024,Honduras,5860.0
2024,Croatia,36100.0
2024,Haiti,2720.0
2024,Hungary,36300.0
2024,Indonesia,13400.0
2024,India,7880.0
2024,Ireland,116000.0
2024,Iran,15800.0
2024,Iraq,8750.0
2024,Iceland,56000.0
2024,Israel,45500.0
2024,Italy,44600.0
2024,Jamaica,10400.0
2024,Jordan,9800.0
2024,Japan,43300.0
2024,Kazakhstan,27800.0
2024,Kenya,5210.0
2024,Kyrgyz Republic,5380.0
2024,Cambodia,4980.0
2024,Kiribati,2040.0
2024,St. Kitts and Nevis,30800.0
2024,South Korea,47300.0
2024,Kuwait,48700.0
2024,Lao,8360.0
2024,Lebanon,13200.0
2024,Liberia,1530.0
2024,Libya,23500.0
2024,St. Lucia,15700.0
2024,Sri Lanka,13300.0
2024,Lesotho,2330.0
2024,Lithuania,41400.0
2024,Luxembourg,112000.0
2024,Latvia,33900.0
2024,Morocco,8390.0
2024,Monaco,222000.0
2024,Moldova,11200.0
2024,Madagascar,1550.0
2024,Maldives,23000.0
2024,Mexico,20300.0
2024,Marshall Islands,6390.0
2024,North Macedonia,18100.0
2024,Mali,2190.0
2024,Malta,51100.0
2024,Myanmar,4290.0
2024,Montenegro,23900.0
2024,Mongolia,12900.0
2024,Mozambique,1320.0
2024,Mauritania,5730.0
2024,Mauritius,24900.0
2024,Malawi,1460.0
2024,Malaysia,30000.0
2024,Namibia,9670.0
2024,Niger,1370.0
2024,Nigeria,5010.0
2024,Nicaragua,6070.0
2024,Netherlands,59000.0
2024,Norway,69200.0
2024,Nepal,4120.0
2024,Nauru,10900.0
2024,New Zealand,44800.0
2024,Oman,34500.0
2024,Pakistan,5350.0
2024,Panama,35700.0
2024,Peru,13000.0
2024,Philippines,9350.0
2024,Palau,15300.0
2024,Papua New Guinea,3910.0
2024,Poland,37900.0
2024,North Korea,1630.0
2024,Portugal,37000.0
2024,Paraguay,14300.0
2024,Palestine,5780.0
2024,Qatar,99100.0
2024,Romania,34900.0
2024,Russia,26000.0
2024,Rwanda,2570.0
2024,Saudi Arabia,50400.0
2024,Sudan,2780.0
2024,Senegal,3830.0
2024,Singapore,111000.0
2024,Solomon Islands,2250.0
2024,Sierra Leone,1690.0
2024,El Salvador,9720.0
2024,San Marino,66400.0
2024,Somalia,1170.0
2024,Serbia,21700.0
2024,South Sudan,394.0
2024,Sao Tome and Principe,3960.0
2024,Suriname,15300.0
2024,Slovak Republic,34400.0
2024,Slovenia,43800.0
2024,Sweden,52800.0
2024,Eswatini,9510.0
2024,Seychelles,31700.0
2024,Syria,3170.0
2024,Chad,1440.0
2024,Togo,2340.0
2024,Thailand,18500.0
2024,Tajikistan,4470.0
2024,Turkmenistan,15000.0
2024,Timor-Leste,2020.0
2024,Tonga,6380.0
2024,Trinidad and Tobago,24400.0
2024,Tunisia,10700.0
2024,Turkey,34500.0
2024,Tuvalu,4890.0
2024,Taiwan,61000.0
2024,Tanzania,2760.0
2024,Uganda,2380.0
2024,Ukraine,8590.0
2024,Uruguay,25300.0
2024,USA,66400.0
2024,Uzbekistan,8620.0
2024,St. Vincent and the Grenadines,16200.0
2024,Venezuela,7250.0
2024,Vietnam,12400.0
2024,Vanuatu,2710.0
2024,Samoa,5650.0
2024,Yemen,1720.0
2024,South Africa,13400.0
2024,Zambia,3370.0
2024,Zimbabwe,2220.0
