year,country,life_expectancy
2024.0,Afghanistan,64.8
2024.0,Angola,66.1
2024.0,Albania,79.5
2024.0,Andorra,83.0
2024.0,UAE,74.8
2024.0,Argentina,77.4
2024.0,Armenia,76.7
2024.0,Antigua and Barbuda,77.2
2024.0,Australia,83.7
2024.0,Austria,83.0
2024.0,Azerbaijan,71.6
2024.0,Burundi,64.8
2024.0,Belgium,82.2
2024.0,Benin,65.5
2024.0,Burkina Faso,62.7
2024.0,Bangladesh,76.0
2024.0,Bulgaria,74.2
2024.0,Bahrain,77.8
2024.0,Bahamas,76.9
2024.0,Bosnia and Herzegovina,77.8
2024.0,Belarus,75.0
2024.0,Belize,75.3
2024.0,Bolivia,73.2
2024.0,Brazil,76.9
2024.0,Barbados,76.9
2024.0,Brunei,74.2
2024.0,Bhutan,74.6
2024.0,Botswana,63.0
2024.0,Central African Republic,53.4
2024.0,Canada,83.0
2024.0,Switzerland,84.7
2024.0,Chile,81.2
2024.0,China,78.6
2024.0,Cote d'Ivoire,65.3
2024.0,Cameroon,64.3
2024.0,"Congo, Dem. Rep.",66.0
2024.0,"Congo, Rep.",66.2
2024.0,Colombia,81.2
2024.0,Comoros,70.0
2024.0,Cape Verde,74.8
2024.0,Costa Rica,81.1
2024.0,Cuba,79.6
2024.0,Cyprus,81.6
2024.0,Czech Republic,80.2
2024.0,Germany,82.0
2024.0,Djibouti,68.1
2024.0,Dominica,73.1
2024.0,Denmark,81.9
2024.0,Dominican Republic,74.2
2024.0,Algeria,77.3
2024.0,Ecuador,77.3
2024.0,Egypt,71.8
2024.0,Eritrea,65.2
2024.0,Spain,83.7
2024.0,Estonia,78.8
2024.0,Ethiopia,70.4
2024.0,Finland,82.7
2024.0,Fiji,69.1
2024.0,France,83.6
2024.0,"Micronesia, Fed. Sts.",64.9
2024.0,Gabon,68.5
2024.0,UK,81.8
2024.0,Georgia,74.3
2024.0,Ghana,67.2
2024.0,Guinea,62.3
2024.0,Gambia,67.9
2024.0,Guinea-Bissau,62.0
2024.0,Equatorial Guinea,66.8
2024.0,Greece,81.9
2024.0,Grenada,74.1
2024.0,Guatemala,73.5
2024.0,Guyana,68.1
2024.0,"Hong Kong, China",0.0
2024.0,Honduras,72.8
2024.0,Croatia,79.5
2024.0,Haiti,64.9
2024.0,Hungary,77.4
2024.0,Indonesia,72.1
2024.0,India,72.1
2024.0,Ireland,82.8
2024.0,Iran,78.9
2024.0,Iraq,73.9
2024.0,Iceland,84.8
2024.0,Israel,83.7
2024.0,Italy,83.9
2024.0,Jamaica,77.0
2024.0,Jordan,79.0
2024.0,Japan,85.5
2024.0,Kazakhstan,72.5
2024.0,Kenya,67.7
2024.0,Kyrgyz Republic,74.2
2024.0,Cambodia,70.8
2024.0,Kiribati,61.5
2024.0,St. Kitts and Nevis,72.9
2024.0,South Korea,83.5
2024.0,Kuwait,82.4
2024.0,Lao,70.4
2024.0,Lebanon,77.3
2024.0,Liberia,67.4
2024.0,Libya,77.0
2024.0,St. Lucia,76.0
2024.0,Liechtenstein,0.0
2024.0,Sri Lanka,78.3
2024.0,Lesotho,52.6
2024.0,Lithuania,77.0
2024.0,Luxembourg,83.7
2024.0,Latvia,76.5
2024.0,Morocco,74.5
2024.0,Monaco,80.6
2024.0,Moldova,75.1
2024.0,Madagascar,66.8
2024.0,Maldives,80.2
2024.0,Mexico,76.7
2024.0,Marshall Islands,66.2
2024.0,North Macedonia,75.2
2024.0,Mali,63.0
2024.0,Malta,83.3
2024.0,Myanmar,70.6
2024.0,Montenegro,76.8
2024.0,Mongolia,69.4
2024.0,Mozambique,59.8
2024.0,Mauritania,72.0
2024.0,Mauritius,76.2
2024.0,Malawi,66.0
2024.0,Malaysia,75.9
2024.0,Namibia,66.3
2024.0,Niger,63.8
2024.0,Nigeria,65.8
2024.0,Nicaragua,76.3
2024.0,Netherlands,82.4
2024.0,Norway,83.7
2024.0,Nepal,72.6
2024.0,Nauru,64.3
2024.0,New Zealand,82.5
2024.0,Oman,75.1
2024.0,Pakistan,66.6
2024.0,Panama,81.0
2024.0,Peru,81.3
2024.0,Philippines,72.4
2024.0,Palau,68.5
2024.0,Papua New Guinea,65.5
2024.0,Poland,78.9
2024.0,North Korea,73.8
2024.0,Portugal,82.6
2024.0,Paraguay,77.2
2024.0,Palestine,75.7
2024.0,Qatar,77.2
2024.0,Romania,76.3
2024.0,Russia,73.8
2024.0,Rwanda,69.8
2024.0,Saudi Arabia,75.5
2024.0,Sudan,71.1
2024.0,Senegal,70.1
2024.0,Singapore,85.5
2024.0,Solomon Islands,59.7
2024.0,Sierra Leone,62.8
2024.0,El Salvador,76.8
2024.0,San Marino,82.9
2024.0,Somalia,59.6
2024.0,Serbia,76.5
2024.0,South Sudan,65.1
2024.0,Sao Tome and Principe,71.4
2024.0,Suriname,73.4
2024.0,Slovak Republic,78.4
2024.0,Slovenia,82.3
2024.0,Sweden,83.6
2024.0,Eswatini,59.3
2024.0,Seychelles,74.6
2024.0,Syria,74.7
2024.0,Chad,61.4
2024.0,Togo,66.2
2024.0,Thailand,79.6
2024.0,Tajikistan,70.3
2024.0,Turkmenistan,71.5
2024.0,Timor-Leste,71.9
2024.0,Tonga,73.7
2024.0,Trinidad and Tobago,75.7
2024.0,Tunisia,78.9
2024.0,Turkey,79.5
2024.0,Tuvalu,69.0
2024.0,Taiwan,81.3
2024.0,Tanzania,68.3
2024.0,Uganda,67.3
2024.0,Ukraine,74.7
2024.0,Uruguay,78.3
2024.0,USA,79.7
2024.0,Uzbekistan,69.0
2024.0,St. Vincent and the Grenadines,73.8
2024.0,Venezuela,76.0
2024.0,Vietnam,75.3
2024.0,Vanuatu,66.4
2024.0,Samoa,71.2
2024.0,Yemen,69.0
2024.0,South Africa,65.8
2024.0,Zambia,64.0
2024.0,Zimbabwe,61.8
