year,country,mean_number_of_years_in_school
1970,Afghanistan,0.35
1970,Angola,0.95
1970,Albania,4.5
1970,UAE,2.25
1970,Argentina,5.7
1970,Armenia,6.25
1970,Antigua and Barbuda,7.0
1970,Australia,8.600000000000001
1970,Austria,8.05
1970,Azerbaijan,5.45
1970,Burundi,0.7000000000000001
1970,Belgium,7.05
1970,Benin,0.55
1970,Burkina Faso,0.2
1970,Bangladesh,1.5
1970,Bulgaria,6.8
1970,Bahrain,1.7999999999999998
1970,Bahamas,6.25
1970,Bosnia and Herzegovina,3.0
1970,Belarus,6.65
1970,Belize,4.1
1970,Bolivia,2.5
1970,Brazil,2.3
1970,Botswana,1.2000000000000002
1970,Central African Republic,0.75
1970,Canada,8.75
1970,Switzerland,8.5
1970,Chile,5.5
1970,China,2.15
1970,Cote d'Ivoire,0.7
1970,Cameroon,1.25
1970,"Congo, Dem. Rep.",1.75
1970,"Congo, Rep.",1.75
1970,Colombia,3.45
1970,Comoros,0.55
1970,Cape Verde,0.9
1970,Costa Rica,4.05
1970,Cuba,5.449999999999999
1970,Cyprus,5.5
1970,Czech Republic,9.65
1970,Germany,7.1
1970,Djibouti,0.9
1970,Denmark,8.45
1970,Dominican Republic,2.7
1970,Algeria,0.75
1970,Ecuador,3.45
1970,Egypt,1.8
1970,Eritrea,0.44999999999999996
1970,Spain,2.7
1970,Estonia,6.4
1970,Ethiopia,0.3
1970,Finland,6.75
1970,Fiji,4.5
1970,France,5.95
1970,Gabon,1.9
1970,UK,8.7
1970,Georgia,7.45
1970,Ghana,2.1
1970,Guinea,0.35
1970,Gambia,0.6
1970,Guinea-Bissau,0.35
1970,Equatorial Guinea,1.8
1970,Greece,5.050000000000001
1970,Guatemala,1.4
1970,Guyana,4.35
1970,Honduras,2.0
1970,Croatia,4.35
1970,Haiti,0.8
1970,Hungary,7.25
1970,Indonesia,1.95
1970,India,1.45
1970,Ireland,6.15
1970,Iran,1.4500000000000002
1970,Iraq,2.35
1970,Israel,7.55
1970,Italy,5.7
1970,Jamaica,4.75
1970,Jordan,2.35
1970,Japan,8.5
1970,Kazakhstan,5.050000000000001
1970,Kenya,1.65
1970,Kyrgyz Republic,5.35
1970,Cambodia,1.35
1970,Kiribati,3.45
1970,South Korea,6.35
1970,Kuwait,2.0
1970,Lao,1.0
1970,Lebanon,2.3
1970,Liberia,0.9
1970,St. Lucia,4.6
1970,Sri Lanka,4.2
1970,Lesotho,2.15
1970,Lithuania,5.2
1970,Luxembourg,6.35
1970,Latvia,6.449999999999999
1970,Morocco,0.7000000000000001
1970,Moldova,6.0
1970,Madagascar,1.1
1970,Maldives,2.25
1970,Mexico,2.85
1970,Marshall Islands,4.1
1970,North Macedonia,4.699999999999999
1970,Mali,0.25
1970,Myanmar,1.7999999999999998
1970,Montenegro,5.75
1970,Mongolia,4.6
1970,Mozambique,0.6
1970,Mauritania,0.44999999999999996
1970,Mauritius,2.0
1970,Malawi,1.25
1970,Malaysia,2.6500000000000004
1970,Namibia,1.85
1970,Niger,0.15000000000000002
1970,Nigeria,1.15
1970,Nicaragua,2.15
1970,Netherlands,6.800000000000001
1970,Norway,6.65
1970,Nepal,0.55
1970,New Zealand,6.45
1970,Oman,1.05
1970,Pakistan,0.9
1970,Panama,4.75
1970,Peru,3.7
1970,Philippines,4.75
1970,Papua New Guinea,1.05
1970,Poland,7.699999999999999
1970,Portugal,2.6500000000000004
1970,Paraguay,3.3499999999999996
1970,Palestine,2.5999999999999996
1970,Qatar,2.0
1970,Romania,6.25
1970,Russia,6.25
1970,Rwanda,0.8
1970,Saudi Arabia,1.65
1970,Sudan,0.9
1970,Senegal,0.55
1970,Singapore,3.05
1970,Solomon Islands,1.45
1970,Sierra Leone,0.5
1970,El Salvador,2.7
1970,Somalia,0.39999999999999997
1970,Serbia,4.9
1970,Sao Tome and Principe,1.2
1970,Suriname,3.3499999999999996
1970,Slovak Republic,5.4
